Fonctionnalite,Clenzy,Hostaway,Guesty,Smoobu,Lodgify,Hospitable,Avantio,Smily,Confiance
Connexion Airbnb (API officielle),2,3,3,3,3,3,3,3,Confirme
Connexion Booking.com (API),2,3,3,3,3,3,3,3,Confirme
Connexion Vrbo (API officielle),2,3,3,1,3,3,3,3,Confirme
Connexion Expedia (API),2,3,3,2,3,1,3,3,Probable
Nombre d'OTA connectes,2,3,3,3,2,1,3,3,Probable
Sync temps reel dispo/prix (2-way),2,3,3,2,3,2,3,3,Confirme
Sync restrictions (min stay/rules),1,3,3,2,2,2,3,2,A verifier
Anti-double-reservation,3,3,3,2,2,3,3,3,Probable
Mapping / multi-listing,2,3,3,2,2,2,3,3,Confirme
CM natif (vs revendeur),1,3,3,2,2,2,3,3,Probable
Unified inbox / messaging cross-canal,2,3,3,1,2,3,2,3,Probable
