Fonctionnalite,Clenzy,Hostaway,Guesty,Smoobu,Lodgify,Hospitable,Avantio,Smily,Confiance
Vue multi-calendrier / multi-propriete unifiee,3,3,3,2,3,3,3,3,Confirme
Drag-and-drop des reservations,3,3,3,3,3,3,2,3,Confirme
Edition groupee (rates / min-stay / blocages),2,3,3,2,2,2,2,3,Confirme
Filtres / pagination de la vue planning,3,3,3,2,2,2,3,3,Probable
Blocage de periodes (maintenance / menage),3,3,3,3,3,3,3,3,Confirme
Statuts visuels (menage / sources / couleurs),2,3,3,2,2,3,2,2,Probable
Robustesse anti-overbooking (transactionnel),3,2,2,2,2,2,2,2,Probable
Synchronisation temps reel inter-canaux,3,3,3,3,3,3,3,3,Confirme
Multi-tenant / isolation par organisation,3,2,3,1,1,1,3,3,Probable
Mode agence / multi-comptes / sous-comptes,3,2,3,1,1,1,3,3,Probable
Gestion de portefeuille (groupes de biens),2,3,3,2,2,2,3,3,Confirme
Multi-unites (sous-unites d'une propriete),2,3,3,2,2,2,3,2,Confirme
Portail proprietaire avec acces calendrier,2,3,3,1,2,1,3,3,Confirme
Vue calendrier mobile multi-unites,2,3,2,3,2,3,2,2,Probable
Gestion fuseau horaire par propriete,3,2,2,2,2,2,2,2,Probable
Echelle (centaines a milliers de lots),3,3,3,2,2,2,3,3,Probable
