Fonctionnalite,Clenzy,Hostaway,Guesty,Smoobu,Lodgify,Hospitable,Avantio,Smily,Confiance
Authentification / SSO entreprise,2,2,3,2,2,2,2,2,Probable
2FA / MFA,1,3,3,2,3,2,2,2,Confirme
RBAC roles & permissions granulaires,3,2,3,1,2,2,2,2,Probable
Multi-tenant / multi-owner isolation,3,2,3,1,1,1,3,2,Probable
Journal d'audit / activity log,2,2,2,1,2,1,2,2,A verifier
Conformite RGPD (export/oubli/consentement),3,2,3,2,2,2,2,3,Probable
Signature electronique mandats/contrats,2,1,1,0,1,1,1,1,Probable
Signature QES eIDAS via QTSP,0,0,0,0,0,0,0,0,Probable
Certifications SOC 2 / ISO 27001,0,1,3,1,1,1,1,1,Probable
Conformite PCI DSS (paiement),1,2,3,2,2,2,2,2,Probable
Declaration voyageurs FR (police),1,2,2,2,2,1,2,1,Confirme
Verification d'identite / KYC voyageur,1,2,2,1,2,2,1,1,Probable
